Movie ID,Title,Genre,Language,Production House,Release Date,Country,Budget (M USD),Duration (mins),Opening Day Collection (M USD),Weekend Collection (M USD),Lifetime Gross (M USD),Number of Screens,IMAX/3D Available,IMDb Rating,Rotten Tomatoes Score,Audience Reviews,Domestic Collection (M USD),International Collection (M USD),Distribution Company,Marketing Budget (M USD)
MOV6137,Movie 1,Thriller,French,Paramount,20:58.5,USA,160.32,143,29.52,81.71,235.57,3395,Yes,7.2,91,474018,163.78,71.79,Netflix,25.58
MOV5332,Movie 2,Thriller,French,Sony Pictures,20:58.5,France,176.23,134,44.84,78.37,362.36,1861,No,10,97,193428,289.87,72.49,Warner Bros,77.15
MOV2905,Movie 3,Adventure,English,Universal,20:58.5,France,92,135,36.8,60.47,467.83,4249,No,5.9,31,469793,286.3,181.53,Sony Pictures,23.73
MOV9627,Movie 4,Animation,Spanish,Fox Studios,20:58.5,USA,72.36,85,25.95,70.7,176.34,1167,No,4.9,87,10888,117.81,58.53,Amazon Prime,10.56
MOV6690,Movie 5,Romance,French,Universal,20:58.5,India,51.88,127,26.22,64.29,481.41,3997,Yes,8.6,94,367663,319.68,161.73,Warner Bros,20.28
MOV2104,Movie 6,Romance,Chinese,Universal,20:58.5,India,275.23,85,17.21,50.49,191.83,3309,No,6.4,82,360421,96.97,94.86,Amazon Prime,60.61
MOV3162,Movie 7,Drama,German,Universal,20:58.5,China,236.41,118,29.39,72.55,282.38,1806,No,6.7,24,181553,173.75,108.63,Amazon Prime,24.92
MOV7315,Movie 8,Comedy,Korean,Paramount,20:58.5,USA,144.52,135,24.53,61.39,545.85,4565,No,8.9,38,2992,394.57,151.28,Fox Studios,17.24
MOV6331,Movie 9,Romance,Tamil,Disney,20:58.5,South Korea,41.87,174,7.08,11.35,93.43,4925,Yes,5,59,419832,70.51,22.92,Amazon Prime,14.39
MOV7014,Movie 10,Drama,Telugu,Sony Pictures,20:58.5,India,85.1,127,42.75,120.46,1063.05,2422,Yes,4.5,38,90602,658.61,404.44,Fox Studios,22.9
MOV2414,Movie 11,Adventure,Spanish,Disney,20:58.5,UK,66.14,114,30.09,82.99,362.23,2336,Yes,8.3,22,389127,261.32,100.91,Sony Pictures,24.66
MOV7394,Movie 12,Romance,English,Disney,20:58.5,China,1.18,135,45.6,82.5,358.64,4411,Yes,4.5,89,469586,270.6,88.04,Sony Pictures,0.32
MOV4920,Movie 13,Sci-Fi,Chinese,Netflix Originals,20:58.5,China,266.44,168,44.86,101.96,452.17,773,No,9.7,32,275983,343.84,108.33,Netflix,67.24
MOV9191,Movie 14,Animation,Japanese,Universal,20:58.5,UK,64.83,101,27.12,72.94,451.35,3979,Yes,5.1,64,105816,253.05,198.3,Warner Bros,9.88
MOV1692,Movie 15,Thriller,English,Netflix Originals,20:58.5,India,182.08,105,49.98,107.81,653.27,2528,No,6.1,52,245041,507.2,146.07,Amazon Prime,43.02
MOV2348,Movie 16,Thriller,Japanese,Warner Bros,20:58.5,China,19.95,121,32.71,60.95,483.81,4165,No,5.9,50,360070,383.62,100.19,Sony Pictures,8.58
MOV2250,Movie 17,Sci-Fi,English,Sony Pictures,20:58.5,Japan,273.99,173,44.51,106.47,374.47,3074,No,4.5,94,81760,213.85,160.62,Fox Studios,44.66
MOV1835,Movie 18,Sci-Fi,English,Warner Bros,20:58.5,Japan,23.7,115,1.05,2.72,23.47,3828,No,6.4,57,293821,15.03,8.44,Sony Pictures,2.67
MOV5040,Movie 19,Sci-Fi,German,Paramount,20:58.5,Germany,186.96,143,29.61,63.24,576.89,4147,No,7.7,89,101687,441.97,134.92,Paramount,46.6
MOV5226,Movie 20,Adventure,Hindi,Disney,20:58.5,South Korea,19.14,164,19.75,32.02,307.28,3274,Yes,6.3,82,205757,161.33,145.95,Fox Studios,9.13
MOV5280,Movie 21,Thriller,Korean,Netflix Originals,20:58.5,South Korea,79.39,153,11.5,28.35,244.07,4081,Yes,8.2,86,478828,161.69,82.38,Amazon Prime,14.25
MOV3552,Movie 22,Animation,Telugu,Universal,20:58.5,South Korea,109.48,180,10.6,17.82,95.79,3886,Yes,5.8,97,311236,72.1,23.69,Paramount,42.67
MOV6013,Movie 23,Drama,French,Paramount,20:58.5,UK,280.24,94,19.91,50.23,403.21,4615,No,4.3,41,376794,247.33,155.88,Warner Bros,113.26
MOV1935,Movie 24,Romance,Tamil,Disney,20:58.5,South Korea,14.91,163,47.15,106.18,797.81,3944,No,8.7,80,113991,544.06,253.75,Warner Bros,6
MOV7412,Movie 25,Action,Spanish,Warner Bros,20:58.5,USA,130.3,168,1.74,2.71,13.15,3978,Yes,8.2,28,165089,7.31,5.84,Warner Bros,14.58
MOV9221,Movie 26,Thriller,Japanese,Netflix Originals,20:58.5,France,40.26,112,38.45,72.93,482.17,4711,No,8.5,48,433651,296,186.17,Sony Pictures,8.44
MOV4336,Movie 27,Drama,Hindi,Universal,20:58.5,France,240.14,169,16.94,25.98,144.7,2119,No,8,42,373501,92.11,52.59,Sony Pictures,107.53
MOV7929,Movie 28,Animation,Tamil,Paramount,20:58.5,India,38.35,179,39.35,63.83,214.13,705,No,7,30,388006,131.33,82.8,Sony Pictures,14.97
MOV6189,Movie 29,Horror,Hindi,Disney,20:58.5,France,189.14,94,49.2,110.05,689.66,1328,No,4.4,66,281863,447.08,242.58,Netflix,44.44
MOV9009,Movie 30,Adventure,Tamil,Warner Bros,20:58.5,France,273.36,83,30.26,76.73,263.36,3814,No,8.6,26,432131,191.12,72.24,Warner Bros,82.1
MOV9385,Movie 31,Comedy,Korean,Sony Pictures,20:58.5,Japan,50.06,159,22.3,38.54,277.42,2810,Yes,6.2,51,166858,221.13,56.29,Paramount,16.94
MOV3345,Movie 32,Animation,Hindi,Sony Pictures,20:58.5,UK,282.52,178,35.95,100.88,281.57,1745,No,7.9,53,314925,207.61,73.96,Sony Pictures,60.95
MOV2141,Movie 33,Sci-Fi,English,Netflix Originals,20:58.5,Japan,86.59,156,41.57,113.09,916.24,4730,Yes,9.8,45,401203,726.59,189.65,Netflix,25.81
MOV5454,Movie 34,Thriller,Spanish,Fox Studios,20:58.5,UK,174.84,81,3.64,6.71,14.84,2176,No,9.8,93,292267,8.33,6.51,Warner Bros,67.07
MOV7356,Movie 35,Romance,Korean,Netflix Originals,20:58.5,USA,192.88,95,23.38,38.71,94.68,4495,Yes,6.7,69,406837,64.3,30.38,Sony Pictures,41.17
MOV7984,Movie 36,Adventure,Telugu,Netflix Originals,20:58.5,China,79.88,157,42.9,103.91,919.93,2442,Yes,8.4,37,238995,498.82,421.11,Amazon Prime,8.63
MOV5588,Movie 37,Adventure,Chinese,Fox Studios,20:58.5,India,133.38,179,45.48,119.05,982.25,1672,No,6.1,76,451320,565.8,416.45,Netflix,22.28
MOV9907,Movie 38,Horror,Japanese,Disney,20:58.5,China,288.34,116,26.25,69.8,394.55,2538,Yes,7.7,46,163521,248.91,145.64,Fox Studios,107.52
MOV3826,Movie 39,Drama,Japanese,Universal,20:58.5,India,30.52,152,45.86,123.42,1016.15,831,No,7.1,60,356010,523.36,492.79,Sony Pictures,7.19
MOV4721,Movie 40,Comedy,French,Fox Studios,20:58.5,UK,39.3,111,17.95,36.12,271.86,2690,No,5.8,48,66643,157.46,114.4,Paramount,8.3
MOV1801,Movie 41,Adventure,French,Paramount,20:58.5,South Korea,29.87,174,3.26,6.57,29.19,1792,Yes,7.8,49,159979,16.1,13.09,Fox Studios,3.41
